Full-Stack,Front-End,Back-End,Other-Development,Other-Tech,Creative-Design,Business-Marketing,Other-Occupation,portfolio,certifs,video,testims,jobs,hour_rate_clean,success_rate,rate_cat,hours_per_week,hours,earnings,num-occups,country,embedding_pca
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,18.0,0.97,2.0,1.0,1813.0,30000.0,2.0,0.0,0.5571051312302373
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0,45.0,1.0,2.0,2.0,374.0,19000.0,2.0,0.0,0.1653307919625469
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,20.0,1.0,2.0,1.0,40.0,1200.0,1.0,0.0,1.4412732099975187
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,25.0,45.0,0.93,2.0,0.0,343.0,18000.0,2.0,0.0,3.659056545134901
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.8323333333333335,0.0,2.0,14.0,292.0,1.0,0.0,-1.8750771156825128
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,25.0,1.0,2.0,1.0,2227.0,42000.0,1.0,0.0,0.8845307192889538
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,20.0,0.824,0.0,1.0,17.0,354.0,1.0,0.0,-2.312979232349031
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,15.0,1.0,2.0,1.0,93.33333333333331,1400.0,2.0,0.0,-0.1665249681890699
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,0.9611666666666668,1.0,1.0,99.0,1200.0,1.0,0.0,1.175121699452249
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,10.0,0.9203333333333332,1.0,1.0,26.0,106.0,2.0,0.0,2.9367575187072634
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,35.0,0.96,3.0,2.0,2231.0,77000.0,2.0,0.0,-0.461180958649717
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,50.0,1.0,3.0,1.0,5421.0,439000.0,1.0,0.0,2.931441811584989
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,25.0,0.98,2.0,0.0,24.0,2500.0,2.0,0.0,-0.2649664718260298
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,25.0,0.8701666666666668,0.0,0.0,212.0,5300.0,2.0,0.0,-2.087449876646369
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,16.0,5.0,1.0,0.0,1.0,380.0,3300.0,2.0,0.0,1.4929522365498906
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,35.0,0.97,0.0,1.0,16.0,350.0,2.0,0.0,-0.1922999365722307
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,20.0,0.9246666666666667,0.0,2.0,80.0,1600.0,1.0,0.0,0.0117162293962691
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,55.0,35.0,1.0,3.0,1.0,1233.0,52000.0,2.0,0.0,-0.1819993944696956
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,53.0,22.0,0.82,0.0,1.0,96.0,3500.0,2.0,0.0,-0.5258804634931106
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,75.0,1.0,3.0,2.0,2424.0,109000.0,2.0,0.0,-2.501195269750446
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,85.0,30.0,0.98,0.0,2.0,45.0,5400.0,2.0,0.0,-1.8372939613193304
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,15.0,0.8711666666666668,0.0,1.0,43.333333333333336,650.0,1.0,0.0,3.8648843728705695
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,40.0,0.94,2.0,2.0,122.0,12000.0,2.0,0.0,-2.40135268703588
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,30.0,1.0,2.0,1.0,1546.0,8300.0,1.0,0.0,4.102553911629073
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,12.0,35.0,1.0,2.0,2.0,183.0,4800.0,2.0,0.0,0.1019582699206001
