,set_export_cert,set_export_cert_date,set_ica_letter,set_import_cert,set_import_cert_date,set_import_unit,set_quantity_used,set_import_quant,exp_cert,exp_product_type,exp_destination_country,exp_port_of_loading,exp_shipment_type,exp_country_group,exp_entry_date,exp_movement_visa_date,exp_invoice_date,exp_inspection_result,exp_item_count,exp_qty_per_piece,exp_avg_price_per_piece,exp_net_weight_actual,exp_invoice_value_actual,imp_certificate,imp_supplier_name,imp_weight,imp_quantity,imp_quantity_unit,imp_customs_system,imp_origin,imp_shipping_port,imp_port_entry_date,imp_certificate_date,imp_factory_entry_date,imp_container_packages,imp_container_type,imp_container_package_count,imp_port_stay_duration,imp_release_time,imp_inspection_rate,imp_inspection_type,imp_item_type,imp_invoice_value_usd,imp_final_value,imp_exchange_rate,imp_converted_invoice_value,imp_invoice_final_value_difference,imp_guarantee_type,imp_guarantee_value,imp_guarantee_submission_date,imp_window_fees,imp_customs_fees_and_taxes,imp_unloading,imp_unofficial_clearance_fees,imp_ground_fees,imp_additional_ground_fees_usd,imp_avg_black_market_usd_rate,imp_additional_ground_fees_egp,imp_other_receipts,imp_total_collected_value_egp,imp_shipping_line,imp_display_entities,imp_display_entity_count,imp_display_entity_cost,imp_display_entity_time,imp_transportation,imp_total_paid,imp_shipping_type,imp_port_airport,imp_shipping_terms,imp_factory_entry_month,imp_factory_entry_year,display_intelligence,display_agriculture,display_chemistry,display_explosives,display_xray,display_drugs,display_printed_materials
10,1660,2023-08-05,9/393,44,2023-03-22,piece,276.665,7328.0,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,44,Best Carton,26925.0,26925,carton,سماح مؤقت,Israel,Al-Ouja,2023-03-22,2023-03-22,2023-03-25,Parcels,20.0,65.0,3,3,1.0,Red,cardboard,66667.0,2084369.0,30.9557,2063723.6519,20645.34810000006,Facility,240000.0,2023-03-22 00:00:00,0.0,21384.0,0.0,480.0,3360.0,0.0,36.0,0.0,1065.0,266289.0,road,زراعة,1.0,190.0,1.0,2100,268579.0,Road,Oga,DDU,3,2023,0,1,0,0,0,0,0
11,1660,2023-08-05,9/393,179982,2022-05-15,kg,7.98,12706.5,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,179982,Rossari Biotech Limted,15316.7,14400,kg,سماح مؤقت,India,India,2022-05-07,2022-05-15,2022-05-21,Container,20.0,1.0,14,6,1.0,Red,dyes,44641.0,800000.0,17.0,758897.0,41103.0,Facility,70000.0,2022-05-16 00:00:00,3393.65,8578.7,941.0,2325.0,5637.63,605.0,18.0,10890.0,431.0,102196.98,MSC,مخدرات- كيمياء,2.0,4075.0,7.0,8500,114771.98,Sea,Ain Sokhna,CIF,5,2022,0,0,1,0,0,1,0
12,1660,2023-08-05,9/393,331874,2022-08-09,kg,23.94,11300.62,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,331874,Rossari Biotech Limted,14256.0,13500,kg,سماح مؤقت,India,India,2022-09-06,2022-09-08,2022-09-26,Container,20.0,1.0,20,18,1.0,Red,dyes,23625.0,465525.144,19.3184,456397.2,9127.94399999996,Facility,60000.0,2022-09-18 00:00:00,257.1,5235.25,16381.3024,2075.0,11254.0,0.0,19.0,0.0,1285.0,96487.65239999999,MSC,مخابرات -  زراعة-  كيمياء- مفرقعات,4.0,3205.0,10.0,8300,107992.6524,Sea,Ain Sokhna,CIF,9,2022,1,1,1,1,0,0,0
13,1660,2023-08-05,9/393,334149,2022-11-09,kg,29.925,18000.0,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,334149,Avco,19080.0,18000,kg,سماح مؤقت,Israel,Ashdod,2022-08-25,2022-09-11,2022-09-19,Container,20.0,1.0,25,8,1.0,Red B,dyes,42480.0,829500.0,19.35,821988.0000000001,7511.999999999884,Facility,95000.0,2022-09-12 00:00:00,3592.15,8906.5,7207.6,3475.0,10138.59,589.5,19.0,11200.5,1780.0,141300.34,B&G,زراعة-مخابرات,2.0,700.0,7.0,8650,150650.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
14,1660,2023-08-05,9/393,343105,2022-09-17,kg,99.75,2982.87,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,343105,B&E International Ltd,15500.0,14500,kg,سماح مؤقت,Israel,Ashdod,2022-09-08,2022-09-17,2022-09-28,Container,20.0,1.0,20,11,1.0,Red B,dyes,27375.0,540700.0,19.46,532717.5,7982.5,Facility,65000.0,2022-09-17 00:00:00,4398.7,6018.5,7085.0,4025.0,6972.24,793.1,19.0,15068.9,645.0,109213.34,B&G,زراعة-مخابرات,2.0,4310.0,2.0,8700,122223.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
15,1660,2023-08-05,9/393,345355,2022-09-19,kg,49.875,20999.81,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,345355,Rudolf,25397.6,196,barrel,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1.0,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,Facility,180000.0,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125.0,5026.0,0.0,19.0,0.0,7125.0,230840.3,MSC,زراعة-مخابرات,2.0,700.0,1.0,8600,240140.3,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
16,1660,2023-08-05,9/546,44,2023-03-22,piece,276.665,7328.0,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,44,Best Carton,26925.0,26925,carton,سماح مؤقت,Israel,Al-Ouja,2023-03-22,2023-03-22,2023-03-25,Parcels,20.0,65.0,3,3,1.0,Red,cardboard,66667.0,2084369.0,30.9557,2063723.6519,20645.34810000006,Facility,240000.0,2023-03-22 00:00:00,0.0,21384.0,0.0,480.0,3360.0,0.0,36.0,0.0,1065.0,266289.0,road,زراعة,1.0,190.0,1.0,2100,268579.0,Road,Oga,DDU,3,2023,0,1,0,0,0,0,0
17,1660,2023-08-05,9/546,179982,2022-05-15,kg,7.98,12706.5,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,179982,Rossari Biotech Limted,15316.7,14400,kg,سماح مؤقت,India,India,2022-05-07,2022-05-15,2022-05-21,Container,20.0,1.0,14,6,1.0,Red,dyes,44641.0,800000.0,17.0,758897.0,41103.0,Facility,70000.0,2022-05-16 00:00:00,3393.65,8578.7,941.0,2325.0,5637.63,605.0,18.0,10890.0,431.0,102196.98,MSC,مخدرات- كيمياء,2.0,4075.0,7.0,8500,114771.98,Sea,Ain Sokhna,CIF,5,2022,0,0,1,0,0,1,0
18,1660,2023-08-05,9/546,331874,2022-08-09,kg,23.94,11300.62,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,331874,Rossari Biotech Limted,14256.0,13500,kg,سماح مؤقت,India,India,2022-09-06,2022-09-08,2022-09-26,Container,20.0,1.0,20,18,1.0,Red,dyes,23625.0,465525.144,19.3184,456397.2,9127.94399999996,Facility,60000.0,2022-09-18 00:00:00,257.1,5235.25,16381.3024,2075.0,11254.0,0.0,19.0,0.0,1285.0,96487.65239999999,MSC,مخابرات -  زراعة-  كيمياء- مفرقعات,4.0,3205.0,10.0,8300,107992.6524,Sea,Ain Sokhna,CIF,9,2022,1,1,1,1,0,0,0
19,1660,2023-08-05,9/546,334149,2022-11-09,kg,29.925,18000.0,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,334149,Avco,19080.0,18000,kg,سماح مؤقت,Israel,Ashdod,2022-08-25,2022-09-11,2022-09-19,Container,20.0,1.0,25,8,1.0,Red B,dyes,42480.0,829500.0,19.35,821988.0000000001,7511.999999999884,Facility,95000.0,2022-09-12 00:00:00,3592.15,8906.5,7207.6,3475.0,10138.59,589.5,19.0,11200.5,1780.0,141300.34,B&G,زراعة-مخابرات,2.0,700.0,7.0,8650,150650.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
20,1660,2023-08-05,9/546,343105,2022-09-17,kg,99.75,2982.87,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,343105,B&E International Ltd,15500.0,14500,kg,سماح مؤقت,Israel,Ashdod,2022-09-08,2022-09-17,2022-09-28,Container,20.0,1.0,20,11,1.0,Red B,dyes,27375.0,540700.0,19.46,532717.5,7982.5,Facility,65000.0,2022-09-17 00:00:00,4398.7,6018.5,7085.0,4025.0,6972.24,793.1,19.0,15068.9,645.0,109213.34,B&G,زراعة-مخابرات,2.0,4310.0,2.0,8700,122223.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
21,1660,2023-08-05,9/546,345355,2022-09-19,kg,49.875,20999.81,1660,Shirt,Spain,Cairo Airport,air,Europe,2023-05-08,2023-07-13,2023-05-10,2023-05-10,4,58481,2.0832,7980.0,130735.2144,345355,Rudolf,25397.6,196,barrel,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1.0,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,Facility,180000.0,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125.0,5026.0,0.0,19.0,0.0,7125.0,230840.3,MSC,زراعة-مخابرات,2.0,700.0,1.0,8600,240140.3,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
22,1671,2023-09-05,9/546,44,2023-03-22,piece,107.5,3541.0,1671,Shirt,Italy,El Dekheila Damietta,sean,Europe,2023-05-09,2023-05-25,2023-05-10,2023-05-10,8,21396,5.13125,3455.1,121080.1,44,Best Carton,26925.0,26925,carton,سماح مؤقت,Israel,Al-Ouja,2023-03-22,2023-03-22,2023-03-25,Parcels,20.0,65.0,3,3,1.0,Red,cardboard,66667.0,2084369.0,30.9557,2063723.6519,20645.34810000006,Facility,240000.0,2023-03-22 00:00:00,0.0,21384.0,0.0,480.0,3360.0,0.0,36.0,0.0,1065.0,266289.0,road,زراعة,1.0,190.0,1.0,2100,268579.0,Road,Oga,DDU,3,2023,0,1,0,0,0,0,0
23,1671,2023-09-05,9/546,179982,2022-05-15,kg,2.96698,12706.5,1671,Shirt,Italy,El Dekheila Damietta,sean,Europe,2023-05-09,2023-05-25,2023-05-10,2023-05-10,8,21396,5.13125,3455.1,121080.1,179982,Rossari Biotech Limted,15316.7,14400,kg,سماح مؤقت,India,India,2022-05-07,2022-05-15,2022-05-21,Container,20.0,1.0,14,6,1.0,Red,dyes,44641.0,800000.0,17.0,758897.0,41103.0,Facility,70000.0,2022-05-16 00:00:00,3393.65,8578.7,941.0,2325.0,5637.63,605.0,18.0,10890.0,431.0,102196.98,MSC,مخدرات- كيمياء,2.0,4075.0,7.0,8500,114771.98,Sea,Ain Sokhna,CIF,5,2022,0,0,1,0,0,1,0
24,1671,2023-09-05,9/546,331874,2022-08-09,kg,8.90094,11300.62,1671,Shirt,Italy,El Dekheila Damietta,sean,Europe,2023-05-09,2023-05-25,2023-05-10,2023-05-10,8,21396,5.13125,3455.1,121080.1,331874,Rossari Biotech Limted,14256.0,13500,kg,سماح مؤقت,India,India,2022-09-06,2022-09-08,2022-09-26,Container,20.0,1.0,20,18,1.0,Red,dyes,23625.0,465525.144,19.3184,456397.2,9127.94399999996,Facility,60000.0,2022-09-18 00:00:00,257.1,5235.25,16381.3024,2075.0,11254.0,0.0,19.0,0.0,1285.0,96487.65239999999,MSC,مخابرات -  زراعة-  كيمياء- مفرقعات,4.0,3205.0,10.0,8300,107992.6524,Sea,Ain Sokhna,CIF,9,2022,1,1,1,1,0,0,0
25,1671,2023-09-05,9/546,334149,2022-11-09,kg,11.126175,18000.0,1671,Shirt,Italy,El Dekheila Damietta,sean,Europe,2023-05-09,2023-05-25,2023-05-10,2023-05-10,8,21396,5.13125,3455.1,121080.1,334149,Avco,19080.0,18000,kg,سماح مؤقت,Israel,Ashdod,2022-08-25,2022-09-11,2022-09-19,Container,20.0,1.0,25,8,1.0,Red B,dyes,42480.0,829500.0,19.35,821988.0000000001,7511.999999999884,Facility,95000.0,2022-09-12 00:00:00,3592.15,8906.5,7207.6,3475.0,10138.59,589.5,19.0,11200.5,1780.0,141300.34,B&G,زراعة-مخابرات,2.0,700.0,7.0,8650,150650.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
26,1671,2023-09-05,9/546,343105,2022-09-17,kg,37.08725,2982.87,1671,Shirt,Italy,El Dekheila Damietta,sean,Europe,2023-05-09,2023-05-25,2023-05-10,2023-05-10,8,21396,5.13125,3455.1,121080.1,343105,B&E International Ltd,15500.0,14500,kg,سماح مؤقت,Israel,Ashdod,2022-09-08,2022-09-17,2022-09-28,Container,20.0,1.0,20,11,1.0,Red B,dyes,27375.0,540700.0,19.46,532717.5,7982.5,Facility,65000.0,2022-09-17 00:00:00,4398.7,6018.5,7085.0,4025.0,6972.24,793.1,19.0,15068.9,645.0,109213.34,B&G,زراعة-مخابرات,2.0,4310.0,2.0,8700,122223.34,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
27,1671,2023-09-05,9/546,345355,2022-09-19,kg,18.543625,20999.81,1671,Shirt,Italy,El Dekheila Damietta,sean,Europe,2023-05-09,2023-05-25,2023-05-10,2023-05-10,8,21396,5.13125,3455.1,121080.1,345355,Rudolf,25397.6,196,barrel,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1.0,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,Facility,180000.0,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125.0,5026.0,0.0,19.0,0.0,7125.0,230840.3,MSC,زراعة-مخابرات,2.0,700.0,1.0,8600,240140.3,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
28,1671,2023-09-05,No-Letter,44,2023-03-22,piece,107.5,3541.0,1671,Shirt,Italy,El Dekheila Damietta,sean,Europe,2023-05-09,2023-05-25,2023-05-10,2023-05-10,8,21396,5.13125,3455.1,121080.1,44,Best Carton,26925.0,26925,carton,سماح مؤقت,Israel,Al-Ouja,2023-03-22,2023-03-22,2023-03-25,Parcels,20.0,65.0,3,3,1.0,Red,cardboard,66667.0,2084369.0,30.9557,2063723.6519,20645.34810000006,Facility,240000.0,2023-03-22 00:00:00,0.0,21384.0,0.0,480.0,3360.0,0.0,36.0,0.0,1065.0,266289.0,road,زراعة,1.0,190.0,1.0,2100,268579.0,Road,Oga,DDU,3,2023,0,1,0,0,0,0,0
29,1671,2023-09-05,No-Letter,345355,2022-09-19,kg,0.85421,14024.98,1671,Shirt,Italy,El Dekheila Damietta,sean,Europe,2023-05-09,2023-05-25,2023-05-10,2023-05-10,8,21396,5.13125,3455.1,121080.1,345355,Rudolf,25397.6,196,barrel,سماح مؤقت,Germany,Hamburg,2022-09-16,2022-09-19,2022-09-28,Container,40.0,1.0,12,9,1.0,Red B,dyes,82994.99,1633500.0,19.5,1618402.305,15097.69499999983,Facility,180000.0,2022-09-19 00:00:00,6011.8,16446.5,13106.0,3125.0,5026.0,0.0,19.0,0.0,7125.0,230840.3,MSC,زراعة-مخابرات,2.0,700.0,1.0,8600,240140.3,Sea,Alexandria,CIF,9,2022,1,1,0,0,0,0,0
30,1787,2023-05-16,9/546,44,2023-03-22,piece,211.11,7328.0,1787,Shirt,Italy,Cairo Airport,air,Europe,2023-05-16,2023-07-13,2023-02-17,2023-05-17,1,13872,3.633333333333333,1616.16,50173.35,44,Best Carton,26925.0,26925,carton,سماح مؤقت,Israel,Al-Ouja,2023-03-22,2023-03-22,2023-03-25,Parcels,20.0,65.0,3,3,1.0,Red,cardboard,66667.0,2084369.0,30.9557,2063723.6519,20645.34810000006,Facility,240000.0,2023-03-22 00:00:00,0.0,21384.0,0.0,480.0,3360.0,0.0,36.0,0.0,1065.0,266289.0,road,زراعة,1.0,190.0,1.0,2100,268579.0,Road,Oga,DDU,3,2023,0,1,0,0,0,0,0
31,1787,2023-05-16,9/546,19428,2023-01-15,kg,2671.34,6160.08,1787,Shirt,Italy,Cairo Airport,air,Europe,2023-05-16,2023-07-13,2023-02-17,2023-05-17,1,13872,3.633333333333333,1616.16,50173.35,19428,Draja,48902.4,960,carton,سماح مؤقت,India,Mundra,2023-01-13,2023-01-15,2023-01-21,Container,40.0,2.0,8,6,1.0,Red A,yarn,154368.0,5302909.13,29.6367,4574958.1056,727951.0243999995,Facility,180000.0,2023-01-14 00:00:00,4409.8,53029.9,29740.0,5225.0,0.0,0.0,30.0,0.0,600.0,273004.7,Hapag-Lloyd,No-Display,0.0,0.0,0.0,1200,274204.7,Sea,Dumiat,CIF,1,2023,0,0,0,0,0,0,0
32,1787,2023-05-16,9/546,84968,2023-04-27,piece,77067.0,137239.0,1787,Shirt,Italy,Cairo Airport,air,Europe,2023-05-16,2023-07-13,2023-02-17,2023-05-17,1,13872,3.633333333333333,1616.16,50173.35,84968,Tellus,84.0,140000,piece,سماح مؤقت,Hong Kong,Hong Kong,2023-04-24,2023-04-27,2023-04-30,Parcels,No-Container,6.0,6,3,1.0,Red A,accessory,10710.0,368000.0,30.9557,331535.547,36464.45299999998,Facility,19000.0,2023-04-29 00:00:00,3345.2,4236.0,1288.2,670.0,1356.6,0.0,36.0,0.0,0.0,29896.0,Air,No-Display,0.0,0.0,0.0,600,30496.0,Air,Cairo,EXFACTORY,4,2023,0,0,0,0,0,0,0
33,1787,2023-05-16,9/546,179982,2022-05-15,kg,3.23232,12706.5,1787,Shirt,Italy,Cairo Airport,air,Europe,2023-05-16,2023-07-13,2023-02-17,2023-05-17,1,13872,3.633333333333333,1616.16,50173.35,179982,Rossari Biotech Limted,15316.7,14400,kg,سماح مؤقت,India,India,2022-05-07,2022-05-15,2022-05-21,Container,20.0,1.0,14,6,1.0,Red,dyes,44641.0,800000.0,17.0,758897.0,41103.0,Facility,70000.0,2022-05-16 00:00:00,3393.65,8578.7,941.0,2325.0,5637.63,605.0,18.0,10890.0,431.0,102196.98,MSC,مخدرات- كيمياء,2.0,4075.0,7.0,8500,114771.98,Sea,Ain Sokhna,CIF,5,2022,0,0,1,0,0,1,0
